intstarttime,vcimsi,intenbid,intscrsrp,intpci,intnc1rsrp,intnc2rsrp,intnc3rsrp,intnc4rsrp,intnc5rsrp,intnc6rsrp,intnc7rsrp,intnc8rsrp,intmr_ta,intmr_uetranspowermargin,flong,flat
1584677015000 ,216536145,690441,47,92,58,40,39,44,42,31,46,44,2,63,113.376136,23.124107
1584677015000 ,455260057,690441,65,92,68,63,60,59,31,23,64,\N,1,63,113.37532,23.125223
1584677235000 ,44399462,171842,56,65,42,39,34,27,29,77,\N,\N,1,63,113.378051,23.120073
1584677235000 ,277701033,171842,56,204,51,42,38,50,46,55,49,48,1,63,113.380256,23.119869
1584676948000 ,455260057,690441,63,92,60,60,47,36,27,24,54,74,1,63,113.375663,23.125288
1584677235000 ,34603802,171842,64,204,57,45,40,42,36,36,50,50,0,63,113.379356,23.119827
1584677232000 ,38764417,171842,50,204,54,54,54,55,54,61,53,\N,\N,\N,113.380813,23.119451
1584677235000 ,373117126,171842,52,204,43,38,49,43,52,43,42,41,1,63,113.380668,23.119461
1584676868000 ,8235765,690441,51,284,48,44,40,43,39,37,31,29,0,63,113.375839,23.123409
1584676868000 ,293313947,690441,53,284,44,\N,\N,\N,\N,\N,\N,\N,0,63,113.376029,23.124086
1584676868000 ,373091224,690441,68,284,44,40,40,34,34,20,\N,\N,1,63,113.376159,23.124471
1584677240000 ,38764417,171842,68,344,47,46,31,56,58,57,55,\N,0,63,113.381202,23.1193
1584677153000 ,495084575,171842,48,65,47,44,42,40,46,42,42,34,1,63,113.378005,23.120008
1584677153000 ,30595720,171842,61,139,58,53,52,46,\N,\N,\N,\N,0,63,113.377792,23.120126
1584677153000 ,38764417,171842,52,344,36,56,53,38,\N,\N,\N,\N,1,63,113.381027,23.119762
1584676944000 ,182320306,690441,71,92,63,55,67,64,26,24,23,74,0,63,113.375946,23.125276
1584676944000 ,214645315,690441,35,92,17,34,35,34,30,11,27,\N,3,58,113.377166,23.125104
1584677172000 ,251868725,339524,55,418,9,33,32,28,27,\N,\N,\N,0,63,113.377105,23.1268
1584676937000 ,447681266,206579,55,352,65,54,47,24,20,20,44,43,0,63,113.375282,23.126605
1584676943000 ,27629771,206579,52,351,48,40,33,28,57,51,93,54,0,63,113.374076,23.126543
1584677168000 ,444861667,206579,38,351,16,\N,\N,\N,\N,\N,\N,\N,0,63,113.374397,23.127958
1584677167000 ,417349450,206579,66,352,66,13,78,\N,\N,\N,\N,\N,0,63,113.374832,23.1277
1584677152000 ,417349450,206579,64,352,66,9,78,\N,\N,\N,\N,\N,0,63,113.374832,23.1277
1584677255000 ,382535204,206579,77,351,58,41,48,89,\N,\N,\N,\N,0,63,113.374656,23.127872
1584677186000 ,444861667,206579,28,351,16,\N,\N,\N,\N,\N,\N,\N,\N,\N,113.374397,23.127958
1584676822000 ,381130617,690841,31,\N,25,24,19,28,26,26,19,13,3,57,113.381973,23.12578
1584676827000 ,168022316,690841,67,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,63,113.380882,23.127777
1584676827000 ,314472731,690841,56,\N,50,48,45,50,50,20,15,39,2,63,113.382057,23.12741
1584677037000 ,164449,690841,56,\N,48,46,39,52,45,45,55,49,3,63,113.381416,23.127723
1584677001000 ,16553476,690841,52,\N,35,35,58,50,36,33,32,28,3,63,113.380813,23.127979
1584677001000 ,509003949,690841,73,\N,41,40,22,18,73,48,47,43,3,63,113.380683,23.127862
1584677103000 ,513826075,690841,62,\N,55,63,56,53,41,40,39,65,2,63,113.381202,23.127454
1584677113000 ,513826075,690841,61,\N,47,60,56,45,42,61,57,\N,2,63,113.381591,23.127401
1584676852000 ,168022316,690841,64,\N,53,\N,\N,\N,\N,\N,\N,\N,3,63,113.380882,23.127777
1584676852000 ,314472731,690841,64,\N,59,63,61,56,23,44,38,56,3,63,113.382492,23.127336
1584677108000 ,513826075,690841,57,\N,52,56,51,54,50,43,40,39,2,63,113.381355,23.127422
1584677016000 ,378902049,690841,62,\N,52,42,62,61,57,56,53,51,3,63,113.38182,23.127582
1584677016000 ,509003949,690841,71,\N,40,33,21,67,49,43,\N,\N,3,63,113.380683,23.127862
1584677016000 ,510424262,690841,49,\N,37,33,33,31,53,47,46,54,4,62,113.384208,23.127744
1584677093000 ,509003949,690841,57,\N,35,35,13,61,53,57,\N,\N,3,63,113.380706,23.12784
1584677093000 ,513826075,690841,62,\N,49,62,60,43,42,60,54,\N,3,63,113.380798,23.127454
1584677395000 ,381130617,690841,32,\N,27,18,30,26,19,31,\N,\N,3,58,113.382057,23.125791
1584677400000 ,217553577,690841,56,\N,49,57,38,32,43,46,65,63,4,63,113.386199,23.127046
1584677400000 ,312375940,690841,65,\N,59,27,51,50,48,54,51,50,2,63,113.382766,23.127635
1584677400000 ,6524438,690841,54,\N,48,29,23,44,46,44,6,\N,3,63,113.380798,23.12799
1584677400000 ,202599622,690841,61,\N,61,57,56,54,53,52,43,40,2,63,113.382316,23.127786
1584677403000 ,312375940,690841,61,\N,\N,\N,\N,\N,\N,\N,\N,\N,2,63,113.382553,23.127647
